"cellid","CGP.cell.line","CCLE.cell.line","GSK.cell.line","NCI60.cell.line"
"RD-ES",,"RD-ES","RDES",
"REC-1",,"REC-1","REC1",
"RKO","RKO","RKO","RKOE6",
"RL","RL","RL","RL",
"RL95-2",,"RL95-2","RL952",
"RPMI-6666","RPMI-6666",,"RPMI6666",
"RPMI-8226","RPMI-8226","RPMI 8226",,"LE:RPMI_8226"
"RS4-11","RS4-11","RS4;11",,
"SCaBER",,"SCaBER","SCaBER",
"SEM",,"SEM","SEM",
"SF295","SF295","SF-295",,"CNS:SF_295"
"SH-4",,"SH-4","SH4",
"SHP-77","SHP-77","SHP-77","SHP77",
"SiHa","SiHa",,"SiHa",
"SJRH30","SJRH30","SJRH30","SJRH30",
"SJSA-1","SJSA-1","SJSA-1","SJSA1",
"SK-LMS-1","SK-LMS-1","SK-LMS-1","SKLMS1",
"SK-MEL-1",,"SK-MEL-1","SKMEL1",
"SK-MES-1","SK-MES-1","SK-MES-1","SKMES1",
"SK-N-AS","SK-N-AS","SK-N-AS","SKNAS",
"SK-N-DZ","SK-N-DZ","SK-N-DZ","SKNDZ",
"SK-N-FI","SK-N-FI","SK-N-FI","SKNFI",
"SK-NEP-1","SK-NEP-1",,"SKNEP1",
"SK-OV-3","SK-OV-3","SK-OV-3","SKOV3","OV:SK_OV_3"
"SK-UT-1","SK-UT-1","SK-UT-1","SKUT1",
"SNB19","SNB19","SNB-19","SNB19","CNS:SNB_19"
"SNU-182",,"SNU-182","SNU182",
"SNU-387","SNU-387","SNU-387","SNU387",
"SNU-398",,"SNU-398","SNU398",
"SNU-423","SNU-423","SNU-423","SNU423",
"SNU-449","SNU-449","SNU-449","SNU449",
"SNU-475","SNU-475","SNU-475","SNU475",
"SR","SR","SR-786","SR","LE:SR"
"ST486","ST486","ST486","ST486",
"SU-DHL-10",,"SU-DHL-10","SUDHL10",
"SU-DHL-5",,"SU-DHL-5","SUDHL5",
"SU-DHL-6",,"SU-DHL-6","SUDHL6",
"SW 1353",,"SW 1353","SW1353",
"SW1088","SW1088","SW 1088","SW1088",
"SW1116","SW1116","SW1116","SW1116",
"SW1417","SW1417","SW1417","SW1417",
"SW1463","SW1463","SW1463","SW1463",
"SW1573","SW1573","SW 1573","SW1573",
"SW1710","SW1710","SW-1710",,
"SW1783","SW1783","SW 1783","SW1783",
"SW1990","SW1990","SW 1990","SW1990",
"SW403",,"SW403","SW403",
"SW48","SW48","SW48","SW48",
"SW480",,"SW480","SW480",
"SW620","SW620","SW620","SW620","CO:SW_620"
"SW684","SW684",,"SW684",
"SW780","SW780","SW 780","SW780",
"SW837","SW837","SW837","SW837",
"SW872","SW872",,"SW872",
"SW900","SW900","SW 900","SW900",
"SW948","SW948","SW948","SW948",
"SW954","SW954",,"SW954",
"SW962","SW962",,"SW962",
"SW982","SW982",,"SW982",
"T-24","T-24","T24",,
"T47D","T47D","T-47D",,"BR:T47D"
"T84","T84","T84","T84",
"THP-1","THP-1","THP-1","THP1",
"TI-73","TI-73","T1-73",,
"Toledo",,"Toledo","Toledo",
"TT","TT","TT","TT",
"U-118-MG","U-118-MG","U-118 MG",,
"U-2-OS","U-2-OS","U-2 OS",,
"U-266","U-266","U266B1",,
"U-87-MG","U-87-MG","U-87 MG",,
"U251","U251","U-251 MG",,"CNS:U251"
"UACC-812","UACC-812","UACC-812","UACC812",
"UM-UC-3","UM-UC-3","UM-UC-3","UMUC3",
"UMC-11","UMC-11",,"UMC11",
"VM-CUB-1","VM-CUB-1","VM-CUB1",,
"WM-115","WM-115","WM-115","WM115",
"YAPC","YAPC","YAPC","YPAC",
"YKG-1","YKG-1","YKG1",,
"MDA-MB-231","MDA-MB-231","MDA-MB-231",,"BR:MDA_MB_231"
"BT-549","BT-549","BT-549",,"BR:BT_549"
"SF268","SF268",,,"CNS:SF_268"
"SF539","SF539",,,"CNS:SF_539"
"SNB75","SNB75",,,"CNS:SNB_75"
"HCC2998","HCC2998",,,"CO:HCC_2998"
"HT-29","HT-29","HT-29",,"CO:HT29"
"KM12","KM12","KM12",,"CO:KM12"
"M14","M14",,,"ME:M14"
"SK-MEL-2","SK-MEL-2","SK-MEL-2",,"ME:SK_MEL_2"
"SK-MEL-28","SK-MEL-28","SK-MEL-28",,"ME:SK_MEL_28"
"SK-MEL-5","SK-MEL-5","SK-MEL-5",,"ME:SK_MEL_5"
"UACC-257","UACC-257","UACC-257",,"ME:UACC_257"
"UACC-62","UACC-62","UACC-62",,"ME:UACC_62"
"MDA-MB-435","MDA-MB-435",,,"ME:MDA_MB_435"
"MDA-N",,,,"ME:MDA_N"
"A549","A549","A549",,"LC:A549"
"EKVX","EKVX",,,"LC:EKVX"
"HOP-62","HOP-62",,,"LC:HOP_62"
"HOP-92","HOP-92",,,"LC:HOP_92"
"NCI-H460","NCI-H460","NCI-H460",,"LC:NCI_H460"
"OVCAR-4","OVCAR-4","OVCAR-4",,"OV:OVCAR_4"
"OVCAR-5","OVCAR-5",,,"OV:OVCAR_5"
"OVCAR-8","OVCAR-8",,,"OV:OVCAR_8"
"NCI-ADR-RES","NCI-ADR-RES",,,"OV:NCI_ADR_RES"
"PC-3","PC-3","PC-3",,"PR:PC_3"
"RXF393","RXF393",,,"RE:RXF_393"
"SN12C","SN12C",,,"RE:SN12C"
"TK10","TK10",,,"RE:TK_10"
"U031","U031",,,"RE:UO_31"
